id,task,owner,status,github_issue,labels,assignees
1,Create GitHub repo + initial README + .gitignore,David,Done,,docs,
2,Set up Python venv + dependencies (openai/anthropic; dotenv; rich/click),Desiree,In Progress,,infra,
3,Build basic CLI loop (welcome -> input -> response -> repeat/exit),Desiree,In Progress,,backend,
4,Create recipes.json with ~12 common recipes (title; ingredients; steps; tags),Katie,In Progress,,data,
5,Write recipe matcher (user must have >=2 required ingredients),Katie,In Progress,,backend,
6,Pretty-print 2-3 recipe suggestions in terminal (Rich tables or cards),Katie,In Progress,,ui,
7,Design conversation flow diagram (Mermaid),Desiree,In Progress,,design,
8,Implement intent detection (regex + keywords),David,In Progress,,backend,
9,Write system prompt + few-shot examples for natural follow-ups,David,In Progress,,prompt,
10,Integrate OpenAI/Claude API calls with error handling & timeouts,David,In Progress,,backend,
11,Add session memory (store user ingredients + selected recipe),Morgan,In Progress,,backend,
12,Handle "I don't have X" -> use AI to modify/substitute ingredients,Morgan,In Progress,,prompt,
13,Graceful error handling + friendly fallback messages,Morgan,In Progress,,infra,
14,Write 25+ manual test cases (happy/path + edge cases),Morgan,In Progress,,qa,
15,Create final architecture + conversation flow diagrams (for README),David,In Progress,,design,
16,Record 2-3 min demo video + prep showcase slides (everyone speaks),Katie (lead),In Progress,,outreach,
17,Polish README v1.0 (Quickstart; diagrams; limitations),Desiree,In Progress,,docs,
18,Write Ethics & Bias doc (hallucinations; dietary accuracy; privacy),Morgan,In Progress,,ethics,
